offset	bank	bank_offset	text
0x0031E4	0x00	0x31E4	++~#w+
0x00321A	0x00	0x321A	#~+w#
0x003297	0x00	0x3297	s#r#=
0x0032A9	0x00	0x32A9	s#r#=
0x0032C6	0x00	0x32C6	+V+^
0x0032F3	0x00	0x32F3	s#r#
0x0032F8	0x00	0x32F8	s#r+++
0x003301	0x00	0x3301	###V+^
0x003308	0x00	0x3308	+V+^
0x003390	0x00	0x3390	9~/w#~/w#~/w#~/w
0x0033A4	0x00	0x33A4	9xN#F#^#V
0x0033B0	0x00	0x33B0	3SXA
0x0033D1	0x00	0x33D1	r+s+p+q
0x0033DC	0x00	0x33DC	9xN#F#^#V
0x0033E8	0x00	0x33E8	3HCZ
0x00340A	0x00	0x340A	r+s+p+q
0x003417	0x00	0x3417	###~
0x003425	0x00	0x3425	9~+++
0x003433	0x00	0x3433	s#r#q#p
0x003449	0x00	0x3449	###~
0x00345E	0x00	0x345E	~+++
0x003480	0x00	0x3480	s#r#q#p
0x003490	0x00	0x3490	PX> 
0x003538	0x00	0x3538	s#r#q#p
0x003603	0x00	0x3603	w+++
0x00368C	0x00	0x368C	~#fo
0x003699	0x00	0x3699	~#fo
0x0036A6	0x00	0x36A6	~#fo
0x0036BB	0x00	0x36BB	~#fo
0x00371E	0x00	0x371E	+}/o|/g
0x003765	0x00	0x3765	~#fo
0x0037C9	0x00	0x37C9	~s_#~rgk
0x0037D3	0x00	0x37D3	^#V#
0x0037DD	0x00	0x37DD	~s_#~rgk
0x0037EB	0x00	0x37EB	9s#r
0x0037FA	0x00	0x37FA	~s_#~rgk
0x00380E	0x00	0x380E	~s_#~rgk
0x00381C	0x00	0x381C	9s#r
0x003856	0x00	0x3856	^#V#
0x00385F	0x00	0x385F	9^#V
0x00386F	0x00	0x386F	9^#fk
0x00387B	0x00	0x387B	*fo^#V#MD
0x003886	0x00	0x3886	q#pkb
0x00388C	0x00	0x388C	s#rkb
0x00389A	0x00	0x389A	*fo^#V#MD
0x0038A5	0x00	0x38A5	q#pkb*fo
0x003958	0x00	0x3958	DEFGHIJKLM
0x003963	0x00	0x3963	NOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyzBC
0x0039F6	0x00	0x39F6	=8w#
0x003A2B	0x00	0x3A2B	I86-#
0x003A4F	0x00	0x3A4F	{/oz/g#
0x003A8F	0x00	0x3A8F	:>-w#
0x003ABB	0x00	0x3ABB	k=+MD
0x003B09	0x00	0x3B09	))]T))
0x003D79	0x00	0x3D79	o=i`
0x0040EA	0x01	0x00EA	WILL TEST
0x004105	0x01	0x0105	F>(= 
0x004124	0x01	0x0124	>>cccccccc>>
0x004144	0x01	0x0144	>>cc
0x00414A	0x01	0x014A	>>``
0x00415C	0x01	0x015C	cc>>
0x004168	0x01	0x0168	66ff
0x004176	0x01	0x0176	``~~
0x00417C	0x01	0x017C	cc>>
0x004184	0x01	0x0184	>>``~~cccc>>
0x0041A4	0x01	0x01A4	>>cc>>cccc>>
0x0041B4	0x01	0x01B4	>>cccc??
0x0041C8	0x01	0x01C8	;;LL
0x0041E8	0x01	0x01E8	"$$"""""""""""""
0x004238	0x01	0x0238	..55%%
0x00424C	0x01	0x024C	88LL::
0x00427A	0x01	0x027A	55UUII22
0x004284	0x01	0x0284	@@BBAAAAAAAA  
0x0042AE	0x01	0x02AE	$$CC
0x0042BA	0x01	0x02BA	11QQQQ22
0x0042CC	0x01	0x02CC	$$$$XX
0x0042DC	0x01	0x02DC	DD@@<<
0x0042E8	0x01	0x02E8	    
0x0042F2	0x01	0x02F2	BB__BBBBBBBBBBDD
0x00430A	0x01	0x030A	  @@@@>>
0x00431A	0x01	0x031A	"<<BB@@<<        !!!!"""""
0x004342	0x01	0x0342	""""""""""
0x004348	0x01	0x0348	"""""""""    "
0x00435C	0x01	0x035C	    
0x004362	0x01	0x0362	  ~~  //  @@HHGG
0x0043A2	0x01	0x03A2	"@@FF88  @@@@@@>>""""yy""""""""NNSS"
0x0043C2	0x01	0x03C2	@@NN@@@@@@@@PPOO
0x0043D4	0x01	0x03D4	"NNUU%%YYKKUU""""  vv))11''))ii&&"
0x0043F4	0x01	0x03F4	**IIIIIIIIQQ66BB__BBBBNNSSRRLL
0x004418	0x01	0x0418	''DDDDDD88
0x00442A	0x01	0x042A	--%%EE
0x00443A	0x01	0x043A	$$BB
0x004442	0x01	0x0442	OOBBOOBBBBNNSSLL
0x00445C	0x01	0x045C	<<FF99xx
0x004468	0x01	0x0468	??JJJJRR$$
0x004478	0x01	0x0478	00RRQQ11
0x004484	0x01	0x0484	..55%%UUIIII22
0x00449A	0x01	0x049A	||!!!!
0x0044A2	0x01	0x04A2	$$..uu
0x0044B4	0x01	0x04B4	NNYYiiIIYYNN
0x0044CA	0x01	0x04CA	88LLJJ0000
0x0044D6	0x01	0x04D6	@@\\bbBB
0x0044E0	0x01	0x04E0	"88,,22"""""""""
0x004502	0x01	0x0502	  vv))))1122bb!!<<
0x004522	0x01	0x0522	  vv))11!!!!aa&&
0x00453A	0x01	0x053A	(())IIFF
0x004598	0x01	0x0598	">>"""""
0x0045F8	0x01	0x05F8	****
0x004628	0x01	0x0628	AAAA
0x00464E	0x01	0x064E	"""""BB"
0x004672	0x01	0x0672	">>""""""""BB"
0x004682	0x01	0x0682	"  ??""""""""BB"
0x0046A0	0x01	0x06A0	"~~"""""""""
0x0046A8	0x01	0x06A8	""""""""""
0x0046C0	0x01	0x06C0	pp>>
0x0046CE	0x01	0x06CE	"""""AA"
0x0046E2	0x01	0x06E2	AAAA!!!!
0x0046F0	0x01	0x06F0	"88>>""""22JJ"
0x004710	0x01	0x0710	00QQQQQQ
0x004730	0x01	0x0730	00      88&&      
0x00479C	0x01	0x079C	!!!!AA@@@@GGxx@@@@@@??
0x0047C6	0x01	0x07C6	00HH
0x0047DA	0x01	0x07DA	**))))II
0x00480C	0x01	0x080C	!!//qq
0x004820	0x01	0x0820	``~~
0x004832	0x01	0x0832	  ''yy
0x004860	0x01	0x0860	~~~~
0x004872	0x01	0x0872	BBBBBBBBBB
0x004884	0x01	0x0884	(((((())))**LL@@@@@@AAAABBLLpp
0x0048A6	0x01	0x08A6	AAAAAAAAAA
0x0048B4	0x01	0x08B4	AAAA
0x0048D4	0x01	0x08D4	<<<<<<<<
0x0048E2	0x01	0x08E2	<<ffFF
0x0048FE	0x01	0x08FE	  @@
0x004922	0x01	0x0922	??@@_@_O_H\H\H\H
0x004952	0x01	0x0952	\H\H\H_O_@@
0x004982	0x01	0x0982	\H\H\H\H\H\H\H\H
0x0049D4	0x01	0x09D4	``ppxx||xxpp``
0x0049E4	0x01	0x09E4	``PPHHDDHHPP``
0x0049F4	0x01	0x09F4	<<ff``nnff<<
0x004A86	0x01	0x0A86	2222>>2222
0x004A94	0x01	0x0A94	||bbbb||````
0x004AA6	0x01	0x0AA6	222266
0x004AB6	0x01	0x0AB6	>>00>>00>>
0x004AD6	0x01	0x0AD6	"88dDBB&"""
0x004AE8	0x01	0x0AE8	@0@ 
0x004B34	0x01	0x0B34	<<ffffffff<<
0x004B44	0x01	0x0B44	<<ff````ff<<
0x004B54	0x01	0x0B54	bbbbbbbb~~<<
0x004B66	0x01	0x0B66	"""""AAAAAA"""""
0x004B76	0x01	0x0B76	"""""IIUUII"""""
0x004B84	0x01	0x0B84	||bbbb||ffff
0x004B94	0x01	0x0B94	<<FFFF~~FFFF
0x004BA4	0x01	0x0BA4	nn[[[[[[[[[[
0x004BB4	0x01	0x0BB4	||ff||ffff||
0x004BD4	0x01	0x0BD4	bbrrzz~~nnff
0x004BE4	0x01	0x0BE4	>>00<<000000
0x004C24	0x01	0x0C24	ffllxx||nnff
0x004C34	0x01	0x0C34	``````````~~
0x004CB6	0x01	0x0CB6	xxddxx````
0x004E04	0x01	0x0E04	>>ccaa``ggcc??
0x004E14	0x01	0x0E14	||bbbb||bbbb||
0x004E24	0x01	0x0E24	bbddhhpphhddbb
0x004E44	0x01	0x0E44	<<bb``<<
0x004E4E	0x01	0x0E4E	bb<<
0x005362	0x01	0x1362	>>ccaa``ggaacc==||bbbb||bbbbbb||bbddhhpppphhddbb<<
0x0053A0	0x01	0x13A0	<<<<bb``<<
0x0053AC	0x01	0x13AC	bbbb<<
0x0062CB	0x01	0x22CB	<PG{
0x006302	0x01	0x2302	<PG{
0x00663E	0x01	0x263E	 <]T
0x006646	0x01	0x2646	MkYLbQ
0x006687	0x01	0x2687	"""aH>"
0x0066F6	0x01	0x26F6	0123456789
0x006771	0x01	0x2771	!?/:*Lp@@@@@@@@@@@G@ R@@@@@HPVE@@@@@@
0x0067AF	0x01	0x27AF	@@@@@@@
0x0067D0	0x01	0x27D0	cABM#a
0x0068E4	0x01	0x28E4	"6)#"""
0x00698B	0x01	0x298B	gW)))))
0x0069B6	0x01	0x29B6	""">P"">"
0x0069BC	0x01	0x29BC	"""{""z"""
0x0069E2	0x01	0x29E2	#~/<
0x0069E7	0x01	0x29E7	"C""~/<"
0x0069ED	0x01	0x29ED	Bw+++6
0x0069FC	0x01	0x29FC	g*O~<w
0x006A1D	0x01	0x2A1D	g*G~<w
0x006A36	0x01	0x2A36	"""O#*G^!Uj"
0x006A6F	0x01	0x2A6F	PPPP@
0x006A7A	0x01	0x2A7A	))))
0x006AA9	0x01	0x2AA9	 r#s#
0x006B5C	0x01	0x2B5C	]T)MD))))
0x006B78	0x01	0x2B78	]T)MD))))
0x006C92	0x01	0x2C92	h8(]
0x006DFD	0x01	0x2DFD	h8!$%
0x006E1F	0x01	0x2E1F	"""~#fo]|"
0x006F24	0x01	0x2F24	h8(]
0x007017	0x01	0x3017	^*MD
0x00706E	0x01	0x306E	#6g#6]>d
0x00727A	0x01	0x327A	ur>(
0x00753E	0x01	0x353E	7.d,-
0x007571	0x01	0x3571	%8MD
0x0076C0	0x01	0x36C0	%8~#
0x00779C	0x01	0x379C	ROBOPON IR TAKANORI
0x0079E2	0x01	0x39E2	]T))
0x007A06	0x01	0x3A06	)]T))
0x007A3B	0x01	0x3A3B	Robopon
0x007BD1	0x01	0x3BD1	=8w#
0x007CAD	0x01	0x3CAD	^#V!@
0x007D5A	0x01	0x3D5A	))]T)MD)
0x007D6F	0x01	0x3D6F	~<o>
0x007D86	0x01	0x3D86	g))]T)MD)
0x007D97	0x01	0x3D97	))]T)MD)
0x007DAB	0x01	0x3DAB	))]T)MD)
0x007DE4	0x01	0x3DE4	))]T)MD)
0x007E20	0x01	0x3E20	))]T)MD)
0x0080FA	0x02	0x00FA	kb###~!
0x008127	0x02	0x0127	66#6
0x008138	0x02	0x0138	68#6!#6b
0x00815B	0x02	0x015B	66#6<#6W
0x0081F5	0x02	0x01F5	61#6
0x008230	0x02	0x0230	68#6
0x008235	0x02	0x0235	#6g>
0x00826F	0x02	0x026F	6$#6
0x008288	0x02	0x0288	#6)#6p
0x0082A2	0x02	0x02A2	6$#6
0x0082B0	0x02	0x02B0	6&#6M#6h
0x00834E	0x02	0x034E	66#60#6W
0x008379	0x02	0x0379	68#6!#6b
0x0083C8	0x02	0x03C8	)]T)
0x008401	0x02	0x0401	66#6:#6b
0x008436	0x02	0x0436	%\\\T
0x008450	0x02	0x0450	\\g==\\\\_6hhhhhh
0x00846C	0x02	0x046C	56hh0hhhX
0x00848E	0x02	0x048E	hhh.((.(((/(hhhhhhhhhhh
0x0084B6	0x02	0x04B6	%hhhhhhhhhhhhh
0x0084C6	0x02	0x04C6	kkkkiiA6hhhhhhhhhhh&K=hhhhhhooooo\oooo
0x0084F0	0x02	0x04F0	DDDDDDDDDDK
0x0084FC	0x02	0x04FC	\\\\\\\
0x008504	0x02	0x0504	"dt|\""%\hhhhh#hhhhhhhh"
0x008696	0x02	0x0696	61#6
0x00885A	0x02	0x085A	y7MD
0x0088CA	0x02	0x08CA	6&#6
0x0088DD	0x02	0x08DD	66#6B#6X
0x0088F2	0x02	0x08F2	66#6
0x008958	0x02	0x0958	)]T)
0x00895D	0x02	0x095D	}/o|/g#
0x008973	0x02	0x0973	)]T)
0x008987	0x02	0x0987	]T))
0x00898C	0x02	0x098C	}/o|/g#
0x0089A2	0x02	0x09A2	]T))
0x0089A7	0x02	0x09A7	}/o|/g#
0x008A30	0x02	0x0A30	\Kw`i
0x008A6C	0x02	0x0A6C	`i))))
0x008A7E	0x02	0x0A7E	))))
0x008ABD	0x02	0x0ABD	*_*W
0x008B6D	0x02	0x0B6D	Ki`)
0x008B90	0x02	0x0B90	))))
0x008B99	0x02	0x0B99	i`))))
0x008BB8	0x02	0x0BB8	))))
0x008BC1	0x02	0x0BC1	i`))))
0x008C1B	0x02	0x0C1B	)]T)MD)
0x008C63	0x02	0x0C63	6&#6
0x008C98	0x02	0x0C98	6&#6
0x008CCF	0x02	0x0CCF	61#6
0x008CE2	0x02	0x0CE2	#6$#6T
0x008D1C	0x02	0x0D1C	))))
0x008D67	0x02	0x0D67	]T))
0x008DCC	0x02	0x0DCC	]Ti`
0x00906F	0x02	0x106F	+_MD
0x00920D	0x02	0x120D	6&#6
0x009240	0x02	0x1240	66#6
0x009264	0x02	0x1264	6$#6@#6v
0x00932C	0x02	0x132C	66#6
0x009348	0x02	0x1348	66#6
0x009392	0x02	0x1392	61#6
0x009445	0x02	0x1445	%d/%d/%d 
0x00944F	0x02	0x144F	0%d:
0x0095E1	0x02	0x15E1	)))))
0x009933	0x02	0x1933	=(3=(S=({
0x009A72	0x02	0x1A72	66#6
0x009A77	0x02	0x1A77	#6_>
0x009A8B	0x02	0x1A8B	*_*W{
0x009A9A	0x02	0x1A9A	*_*W{
0x009AC6	0x02	0x1AC6	g###~
0x009AD6	0x02	0x1AD6	g##~
0x009AEF	0x02	0x1AEF	$\#~
0x009B08	0x02	0x1B08	$\++~
0x009B2A	0x02	0x1B2A	#~G#~++
0x009B62	0x02	0x1B62	G+++~
0x009B7B	0x02	0x1B7B	g#~G
0x009B80	0x02	0x1B80	######~
0x009BF6	0x02	0x1BF6	66#6
0x009CBB	0x02	0x1CBB	66#6
0x009D0B	0x02	0x1D0B	66#6[#6X>
0x009D20	0x02	0x1D20	66#6
0x009DF5	0x02	0x1DF5	"{""z"""
0x009DFF	0x02	0x1DFF	"y""{"""
0x009E1E	0x02	0x1E1E	*_~W
0x009E32	0x02	0x1E32	"{""z"""
0x009E3C	0x02	0x1E3C	"y""{""z""x""y"""
0x009E53	0x02	0x1E53	"W{""z"""
0x009E5E	0x02	0x1E5E	"y""{"""
0x009E7D	0x02	0x1E7D	*_~W
0x009E91	0x02	0x1E91	"{""z"""
0x009E9B	0x02	0x1E9B	"y""{""z""x""y"""
0x009EDC	0x02	0x1EDC	q_o&
0x009F05	0x02	0x1F05	Y_o&
0x009F34	0x02	0x1F34	>_{!
0x009F46	0x02	0x1F46	q_o&
0x00A025	0x02	0x2025	}/o|/g#
0x00A0C5	0x02	0x20C5	)]T)MD)
0x00A105	0x02	0x2105	###~
0x00A10B	0x02	0x210B	aai`##~
0x00A114	0x02	0x2114	wi`###~
0x00A11D	0x02	0x211D	wi`####~
0x00A1DF	0x02	0x21DF	))))
0x00A1EB	0x02	0x21EB	))))
0x00A234	0x02	0x2234	))))
0x00A249	0x02	0x2249	))))
0x00A28D	0x02	0x228D	))))))]T)))
0x00A2AA	0x02	0x22AA	))))))]T)))
0x00A2C4	0x02	0x22C4	))))MD
0x00A2D5	0x02	0x22D5	))))
0x00A2DC	0x02	0x22DC	18l&
0x00A2E1	0x02	0x22E1	))))
0x00A314	0x02	0x2314	)]T)MD)
0x00A349	0x02	0x2349	)]T)MD)
0x00A363	0x02	0x2363	i`#6
0x00A368	0x02	0x2368	i`##6
0x00A38A	0x02	0x238A	I8#n
0x00A3A9	0x02	0x23A9	i`###6
0x00A3B1	0x02	0x23B1	I8##^
0x00A3BA	0x02	0x23BA	I8###N
0x00A3C1	0x02	0x23C1	I8####^
0x00A47E	0x02	0x247E	###^
0x00A499	0x02	0x2499	###wy
0x00A4B2	0x02	0x24B2	)]T)MD)
0x00A4C9	0x02	0x24C9	kb##~
0x00A4D0	0x02	0x24D0	wkb###Nkb####~
0x00A594	0x02	0x2594	)]T)MD)
0x00A5C7	0x02	0x25C7	)]T)MD)
0x00A5F3	0x02	0x25F3	)]T)MD)
0x00A62D	0x02	0x262D	)]T)MD)
0x00A644	0x02	0x2644	kb##~
0x00A64B	0x02	0x264B	wkb###~
0x00A657	0x02	0x2657	~kb##w
0x00A662	0x02	0x2662	###q
0x00A676	0x02	0x2676	###~
0x00A711	0x02	0x2711	)]T)MD)
0x00A750	0x02	0x2750	si`#^
0x00A824	0x02	0x2824	*_*W{
0x00A833	0x02	0x2833	*_*W{
0x00A85C	0x02	0x285C	g###~
0x00A87D	0x02	0x287D	*G*++
0x00A884	0x02	0x2884	Zi++++++++
0x00A898	0x02	0x2898	ZiO~G##~
0x00A8B1	0x02	0x28B1	ZiO~G##~
0x00A8CE	0x02	0x28CE	Zi####*
0x00A8E9	0x02	0x28E9	Zi###*
0x00A902	0x02	0x2902	#*G*
0x00A90E	0x02	0x290E	+++*
0x00A93A	0x02	0x293A	####*
0x00A9B9	0x02	0x29B9	6$#6
0x00A9BE	0x02	0x29BE	#6|>
0x00AABC	0x02	0x2ABC	66#6
0x00AAF9	0x02	0x2AF9	66#6
0x00AB4C	0x02	0x2B4C	#6!#6F
0x00AB6C	0x02	0x2B6C	#6h#6H
0x00ABC9	0x02	0x2BC9	66#6
0x00ABE1	0x02	0x2BE1	66#6
0x00ACAC	0x02	0x2CAC	I8#^
0x00ACC8	0x02	0x2CC8	I8n&
0x00ACD2	0x02	0x2CD2	I8###
0x00ACE0	0x02	0x2CE0	=8##
0x00AD13	0x02	0x2D13	]T)MD))
0x00AD5C	0x02	0x2D5C	]T)MD))
0x00AD77	0x02	0x2D77	kb#~
0x00AD7E	0x02	0x2D7E	kb##~
0x00AD86	0x02	0x2D86	kb###~
0x00ADFA	0x02	0x2DFA	kb####~
0x00AEFC	0x02	0x2EFC	6&#6
0x00AF27	0x02	0x2F27	66#6[#6X>
0x00AF4D	0x02	0x2F4D	6&#6
0x00AF6A	0x02	0x2F6A	61#6
0x00B028	0x02	0x3028	Bpo&
0x00B02D	0x02	0x302D	)]T)
0x00B05A	0x02	0x305A	)]T)
0x00B099	0x02	0x3099	=8#w
0x00B09E	0x02	0x309E	=8##q#p
0x00B0B3	0x02	0x30B3	)]T)MD)
0x00B139	0x02	0x3139	I8##~
0x00B13F	0x02	0x313F	I8###^
0x00B154	0x02	0x3154	)]T)
0x00B184	0x02	0x3184	)]T)
0x00B1AA	0x02	0x31AA	)]T)MD)
0x00B1E2	0x02	0x31E2	I8##^
0x00B1EB	0x02	0x31EB	I8###^
0x00B1F5	0x02	0x31F5	=8#^
0x00B1FD	0x02	0x31FD	=8##^#V
0x00B211	0x02	0x3211	i`#>
0x00B21E	0x02	0x321E	i`#6
0x00B2B9	0x02	0x32B9	=8##w
0x00B2C2	0x02	0x32C2	=8###w
0x00B318	0x02	0x3318	~#fo
0x00B3EE	0x02	0x33EE	)]T)
0x00B49B	0x02	0x349B	Y_!W
0x00B5D3	0x02	0x35D3	))))
0x00B649	0x02	0x3649	61#6
0x00B65D	0x02	0x365D	61#6
0x00B6A0	0x02	0x36A0	61#6
0x00B6B5	0x02	0x36B5	61#6
0x00B6C8	0x02	0x36C8	#6$#6T
0x00B733	0x02	0x3733	61#6
0x00B76A	0x02	0x376A	W!-v
0x00B781	0x02	0x3781	W!1v
0x00B7C2	0x02	0x37C2	6$#6@#6v
0x00B846	0x02	0x3846	68#6-#6_>
0x00B881	0x02	0x3881	#6g#6]>
0x00B89F	0x02	0x389F	+wo&
0x00B8C8	0x02	0x38C8	)]T)MD)
0x00B9B0	0x02	0x39B0	#6g#6]
0x00B9B7	0x02	0x39B7	h80}
0x00BA33	0x02	0x3A33	#6g#6]
0x00BA87	0x02	0x3A87	6$#6@#6v
0x00BAA9	0x02	0x3AA9	#6J#6K
0x00BAC7	0x02	0x3AC7	^#V!h
0x00BADB	0x02	0x3ADB	^#V!h
0x00BAE7	0x02	0x3AE7	78#q#p
0x00BB2C	0x02	0x3B2C	]T)MD)
0x00BB48	0x02	0x3B48	]T)MD)
0x00BC53	0x02	0x3C53	#6g#6h
0x00BC61	0x02	0x3C61	#6d#6s
0x00BCBB	0x02	0x3CBB	#6J#6K
0x00BD33	0x02	0x3D33	#6J#6K
0x00BDAB	0x02	0x3DAB	#6J#6K
0x00BE23	0x02	0x3E23	#6J#6K
0x00BEE8	0x02	0x3EE8	))))))]T)))
0x00BF14	0x02	0x3F14	))))
0x00BF93	0x02	0x3F93	#6U#6k
0x00C669	0x03	0x0669	!A0AXA
0x00C682	0x03	0x0682	B-B9BEBQB]BjB
0x00C6A0	0x03	0x06A0	C#C<CPCbCsC
0x00C6B6	0x03	0x06B6	D DhD
0x00C6C6	0x03	0x06C6	E)E=EXE
0x00C6D2	0x03	0x06D2	E&F?FFFWF]FcF
0x00C6EA	0x03	0x06EA	A$@G@^@u@
0x00C6FC	0x03	0x06FC	@8@!
0x00C704	0x03	0x0704	#6}#6f
0x00C71B	0x03	0x071B	#6}#6f
0x00C75F	0x03	0x075F	#6(#6C
0x00C7DE	0x03	0x07DE	^#V!
0x00C7FD	0x03	0x07FD	^#V!@
0x00C83A	0x03	0x083A	]T)MD))))
0x00C870	0x03	0x0870	#6!#6F
0x00C87D	0x03	0x087D	)))y
0x00C98B	0x03	0x098B	]T)MD))))
0x00CA0A	0x03	0x0A0A	"""J>!"
0x00CAB2	0x03	0x0AB2	#6}#6f
0x00CB5C	0x03	0x0B5C	#6z>
0x00CB6C	0x03	0x0B6C	#6z!J
0x00CB8F	0x03	0x0B8F	#6z!
0x00CBA3	0x03	0x0BA3	q#p!
0x00CBAE	0x03	0x0BAE	#6z!
0x00CBE5	0x03	0x0BE5	#6z!
0x00CBF9	0x03	0x0BF9	q#p!
0x00CC1E	0x03	0x0C1E	#6z>
0x00CC2E	0x03	0x0C2E	#6z!J
0x00CC51	0x03	0x0C51	#6z!
0x00CC65	0x03	0x0C65	q#p!
0x00CC70	0x03	0x0C70	#6z!
0x00CCA7	0x03	0x0CA7	#6z!
0x00CCBB	0x03	0x0CBB	q#p!
0x00CCC6	0x03	0x0CC6	#6z!Q
0x00CCDA	0x03	0x0CDA	q#p!
0x00CD9D	0x03	0x0D9D	6/#6^#6@
0x00CDC6	0x03	0x0DC6	#6}#6f
0x00CDF6	0x03	0x0DF6	#6}#6f
0x00CE3E	0x03	0x0E3E	^#V!
0x00CE5F	0x03	0x0E5F	^#V!@
0x00CF2D	0x03	0x0F2D	###n&
0x00CF83	0x03	0x0F83	i`~#fo
0x00D0AD	0x03	0x10AD	^#V!
0x00D0E7	0x03	0x10E7	^#V!
0x00D154	0x03	0x1154	\Q! P
0x00D198	0x03	0x1198	##MD
0x00D1EC	0x03	0x11EC	~#fo
0x00D29F	0x03	0x129F	^#V!^
0x00D358	0x03	0x1358	^#V!^
0x00D3E3	0x03	0x13E3	~#fo
